Q1,Q1_8_TEXT,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q7A,Q7B,Q10,Q11,Q12,Q12_11_TEXT,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_8,Q13_9,Q13_10,Q13_11,Q13_11_TEXT,Q13_12,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q14_8,Q14_9,Q14_10,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q15_8,Q15_9,Q15_10,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_7,Q16_8,Q16_9,Q16_10,Q17,Q18,Q19,Q19A,Q19B,Q20_1,Q20_2,Q20_3,Q20_4,Q20_5,Q20_6,Q20_7,Q20_8,Q20_9,Q20_10,Q20_11,Q20_12,Q20_13,Q20_14,Q20_15,Q20_15_TEXT,Q21A_1,Q21A_2,Q21A_3,Q21A_4,Q21A_5,Q21A_6,Q21A_7,Q21A_8,Q21A_9,Q21A_10,Q21A_11,Q21A_12,Q21A_13,Q21A_14,Q21A_15,Q21A_15_TEXT,Q21B,Q22,Q22_11_TEXT,Q23,Q23_9_TEXT
Delhi NCR,,Male,26–35,Single,"Refrigerator,Washing Machine,AC,PC / Laptop,Car,2-Wheeler,Smartphones",Graduate / PG – Professional,Student,>₹2L,Apple I phone 14,F,6,Cashify,"Amazon, Flipkart, Grest","Cashify,Amazon Renewed,Flipkart Reset,OLX,Local shop/used-phone market,Facebook Marketplace / Instagram sellers,Other (specify)",Grest,"YouTube review/Unboxing,Price–comparison site/Deal–blog,Offline store",Price–comparison site/Deal–blog,"Google search,Price–comparison site/Deal–blog","Google search,Price–comparison site/Deal–blog",Offline store,YouTube review/Unboxing,,,,,Google search,Grest,,Have considered using it but never used,Have considered using it but never used,Heard a lot but never considered,Heard a lot but never considered,Heard a lot but never considered,Heard a lot but never considered,Never heard of it,Heard a lot but never considered,Heard a lot but never considered,Heard a lot but never considered,I might consider it,I might consider it,I might consider it,I might consider it,I might consider it,I might consider it,I would not consider it,I would not consider it,I would not consider it,I would not consider it,7,7,7,6,7,6,5,5,5,5,Probably not,Yes,Online,Amazon Renewed,,,,,,,,,,,,,,,,,,5,,2,1,,,,3,,4,,,,,,,Was not aware that Cashify sells refurbished devices,"Warranty,Replacement guarantee,32/64 point quality check,Certified refurbisher (brand assurance),EMI available",,"Fear of bad quality,Fear of fake/duplicate parts,No trust in seller,Don’t know where to buy safely,Prefer only brand–new phones",
Delhi NCR,,Female,18–25,Single,"Refrigerator,Washing Machine,AC,PC / Laptop,Car,2-Wheeler,Smartphones",Graduate / PG – General,Student,>₹2L,Iphone 14,F,6,Amazon,Flipkart,"Amazon Renewed,Flipkart Reset,OLX",,,Google search,"Social media ad (Instagram/Facebook),Price–comparison site/Deal–blog","Google search,Price–comparison site/Deal–blog",,,,,,,,,,Heard a little but never considered using it,Heard a little but never considered using it,Heard a little but never considered using it,Heard a little but never considered using it,Heard a little but never considered using it,Never heard of it,Heard a little but never considered using it,Heard a little but never considered using it,Never heard of it,Never heard of it,I would not consider it,I might consider it,I would not consider it,I would not consider it,I would not consider it,I would not consider it,I would not consider it,I would not consider it,I would not consider it,I would not consider it,6,8,6,0,0,0,0,0,1,1,Probably not,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Warranty,Replacement guarantee,Lower price vs new,32/64 point quality check,Looks / feels like new",,"Fear of bad quality,Fear of fake/duplicate parts,Data privacy concern,No trust in seller,Don’t know where to buy safely",
Tier-2 / Tier-3 (Specify),,Female,18–25,Single,"Refrigerator,Washing Machine,AC,PC / Laptop,Car,Smartphones",Graduate / PG – Professional,Working (full-time),<₹25k,I phone 11 pro max,F,6,Amazon,Nope,"Cashify,OLX",,"YouTube review/Unboxing,Google search,Social media ad (Instagram/Facebook)",,,Google search,,,,,,,,,,Never heard of it,Never heard of it,Never heard of it,Never heard of it,Never heard of it,Never heard of it,Never heard of it,Never heard of it,Never heard of it,Heard a little but never considered using it,I would not consider it,I might consider it,I would not consider it,I would not consider it,I would not consider it,I would not consider it,I might consider it,I would not consider it,I would not consider it,I might consider it,8,8,4,2,6,0,4,1,1,1,Probably would,Yes,Offline,,For surety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Replacement guarantee,Lower price vs new,32/64 point quality check,Battery health score,Certified refurbisher (brand assurance),Trial window",,"Fear of bad quality,Fear of fake/duplicate parts,Data privacy concern,No trust in seller,Don’t know where to buy safely",
Delhi NCR,,Male,18–25,Single,"Refrigerator,Washing Machine,AC,PC / Laptop,Car,2-Wheeler,Smartphones",Graduate / PG – General,Student,>₹2L,Samsung Galaxy S25 Ultra,F,6,Cashify,No,Cashify,,TV ad,,,,,,,,,,,,,Heard a little but never considered using it,Heard a little but never considered using it,Heard a little but never considered using it,Heard a little but never considered using it,Heard a little but never considered using it,Heard a little but never considered using it,Heard a little but never considered using it,Heard a little but never considered using it,Heard a little but never considered using it,Heard a little but never considered using it,I might consider it,I might consider it,I might consider it,I might consider it,I might consider it,I might consider it,I might consider it,I might consider it,I might consider it,I might consider it,5,5,5,4,4,5,5,5,5,5,Definitely not,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lower price vs new,Battery health score,Certified refurbisher (brand assurance),Trial window,Reviews / testimonials",,"Fear of bad quality,Fear of fake/duplicate parts,No trust in seller,Social stigma / family opinion,Prefer only brand–new phones",
Mumbai,,Female,26–35,Single,"PC / Laptop,Smartphones",Graduate / PG – General,Student,₹75k–1L,Vivo V6 ,F,6,OLX,Flipkart Amazon Facebook ,"Amazon Renewed,Flipkart Reset,OLX,Local shop/used-phone market,Facebook Marketplace / Instagram sellers",,,"Social media ad (Instagram/Facebook),Price–comparison site/Deal–blog","Google search,Social media ad (Instagram/Facebook),Price–comparison site/Deal–blog","TV ad,Social media ad (Instagram/Facebook),Price–comparison site/Deal–blog,Offline store",Offline store,"Social media ad (Instagram/Facebook),Price–comparison site/Deal–blog",,,,,,,,Heard a little but never considered using it,Never heard of it,Heard a little but never considered using it,Never heard of it,Have used it to buy refurbished device but it was sometime back.,Heard a lot but never considered,Never heard of it,Never heard of it,Never heard of it,Never heard of it,I might consider it,I might consider it,I might consider it,I would seriously consider it,I would seriously consider it,I might consider it,I would not consider it,I would not consider it,I would not consider it,I would not consider it,5,5,4,7,9,7,2,1,1,0,Probably would,Yes,Offline,,"Ease of choice, feature comparison and bargaining upfront",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"32/64 point quality check,Battery health score,Certified refurbisher (brand assurance),Trial window,Looks / feels like new",,"Data privacy concern,No trust in seller,Warranty doubts,Don’t know where to buy safely,Prefer only brand–new phones",
Tier-2 / Tier-3 (Specify),,Male,18–25,Single,"Refrigerator,Washing Machine,AC,PC / Laptop,Car,2-Wheeler,Smartphones",SSC/HSC,Student,₹75k–1L,SAMSUNG GALAXY A30s,F,6,Samsung ,Apps-casify,"Cashify,OLX",,"TV ad,Google search,Influencer video recommending it",,,Google search,,,,,,,,,,Heard a lot but never considered,Heard a lot but never considered,Heard a little but never considered using it,Heard a little but never considered using it,Have used it to buy refurbished device but it was sometime back.,Heard a little but never considered using it,Have used it to buy refurbished device but it was sometime back.,Never heard of it,Never heard of it,Heard a little but never considered using it,I would seriously consider it,I would not consider it,I would not consider it,I would seriously consider it,I might consider it,I would not consider it,I would not consider it,I would not consider it,I would not consider it,I would not consider it,8,2,2,8,5,3,3,3,4,2,Maybe,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Warranty,Replacement guarantee,Battery health score,EMI available,Other",,"Fear of bad quality,Fear of fake/duplicate parts,No trust in seller,Warranty doubts,Social stigma / family opinion,Don’t know where to buy safely,Prefer only brand–new phones",
Tier-2 / Tier-3 (Specify),Chirimiri ,Male,26–35,Single,AC,Graduate / PG – General,Unemployed,<₹25k,iPhone 11,F,6,Apple,Croma,Cashify,,Google search,,,,,,,,,,,,,Have considered using it but never used,Have considered using it but never used,Have considered using it but never used,Have considered using it but never used,Have considered using it but never used,Have considered using it but never used,Have considered using it but never used,Have considered using it but never used,Have considered using it but never used,Have considered using it but never used,I might consider it,I would not consider it,I might consider it,I would not consider it,I would not consider it,I would seriously consider it,It would be my first choice,I might consider it,I would not consider it,I might consider it,6,6,6,0,6,5,5,4,3,4,Probably not,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lower price vs new,32/64 point quality check,Battery health score,EMI available,Reviews / testimonials",,"Fear of bad quality,Fear of fake/duplicate parts,Data privacy concern,Warranty doubts,Prefer only brand–new phones",
Tier-2 / Tier-3 (Specify),,Female,46+,Married,"Refrigerator,Washing Machine,AC,PC / Laptop,Car,2-Wheeler,Smartphones",Graduate / PG – General,Homemaker,₹50–75k,Sumsung ,F,6,Samsung,Casify ,"Cashify,OLX",,"Google search,Social media ad (Instagram/Facebook)",,,"YouTube review/Unboxing,Social media ad (Instagram/Facebook),Influencer video recommending it,Price–comparison site/Deal–blog,Offline store",,,,,,,,,,Have used it to buy refurbished device but it was sometime back.,Have considered using it but never used,Heard a lot but never considered,Never heard of it,Heard a little but never considered using it,Heard a lot but never considered,Have used it to buy refurbished device but it was sometime back.,Heard a little but never considered using it,I used it recently to buy refurbished device within last 6 months,Heard a lot but never considered,It would be my first choice,I would seriously consider it,It would be my first choice,It would be my first choice,I might consider it,I would seriously consider it,I would seriously consider it,I might consider it,I would seriously consider it,I would seriously consider it,0,2,2,1,0,0,1,1,4,7,Probably would,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Warranty,Lower price vs new,Battery health score,EMI available,Reviews / testimonials",,"Fear of bad quality,Fear of fake/duplicate parts,Data privacy concern,Warranty doubts,Social stigma / family opinion,Don’t know where to buy safely,Prefer only brand–new phones,Other",
Tier-2 / Tier-3 (Specify),,Male,46+,Married,"Refrigerator,Washing Machine,AC,PC / Laptop,Car,2-Wheeler",Graduate / PG – Professional,Retired,₹50–75k,Samsung F23,F,6,Samsung,Olx,"Cashify,OLX",,"Saw as brand integration on a Youtube show,Social media ad (Instagram/Facebook)",,,"Saw as brand integration on a Youtube show,Social media ad (Instagram/Facebook),Price–comparison site/Deal–blog",,,,,,,,,,Have used it to buy refurbished device but it was sometime back.,Never heard of it,Never heard of it,Have used it to buy refurbished device but it was sometime back.,Never heard of it,Never heard of it,Never heard of it,Never heard of it,I used it recently to buy refurbished device within last 6 months,Never heard of it,It would be my first choice,I would not consider it,I would not consider it,I would seriously consider it,I would not consider it,I would not consider it,I would not consider it,I would not consider it,I would not consider it,I would not consider it,3,2,0,3,0,2,5,4,3,7,Maybe,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Warranty,32/64 point quality check,Battery health score,Certified refurbisher (brand assurance),Trial window,Looks / feels like new,Reviews / testimonials",,"Fear of bad quality,Fear of fake/duplicate parts,Data privacy concern,Don’t know where to buy safely,Prefer only brand–new phones",
Delhi NCR,,Male,18–25,Single,"PC / Laptop,Smartphones",Graduate / PG – General,Student,>₹2L,Iphone 15,F,6,Cashify,OLX,"Cashify,Amazon Renewed,OLX,Local shop/used-phone market,Facebook Marketplace / Instagram sellers",,Google search,Google search,,Google search,Offline store,Google search,,,,,,,,Have considered using it but never used,Have considered using it but never used,Never heard of it,Have considered using it but never used,Have considered using it but never used,Have considered using it but never used,Never heard of it,Never heard of it,Never heard of it,Never heard of it,It would be my first choice,I would seriously consider it,I would not consider it,It would be my first choice,It would be my first choice,I might consider it,I would not consider it,I would not consider it,I would not consider it,I would not consider it,9,10,9,9,10,10,5,5,5,5,Probably not,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Warranty,32/64 point quality check,Battery health score,Looks / feels like new,Reviews / testimonials",,"Fear of fake/duplicate parts,Data privacy concern,No trust in seller,Warranty doubts,Social stigma / family opinion",
Ahmedabad,,Male,46+,Married,"Refrigerator,Washing Machine,AC,PC / Laptop,Car,Smartphones",Graduate / PG – Professional,Working (full-time),>₹2L,Apple 13,F,6,Cashify,No,Cashify,,Google search,,,,,,,,,,,,,Have considered using it but never used,Never heard of it,Never heard of it,Heard a little but never considered using it,Heard a little but never considered using it,Never heard of it,Never heard of it,Never heard of it,Never heard of it,Never heard of it,It would be my first choice,I would not consider it,I would not consider it,I would not consider it,I would not consider it,I would not consider it,I would not consider it,I would not consider it,I would not consider it,I would not consider it,10,0,0,0,0,0,0,0,0,0,Maybe,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lower price vs new,32/64 point quality check,Battery health score,Looks / feels like new,Reviews / testimonials",,"Fear of bad quality,Fear of fake/duplicate parts,Data privacy concern,Warranty doubts,Don’t know where to buy safely",
Ahmedabad,,Female,46+,Married,Smartphones,Graduate / PG – General,Homemaker,>₹2L,iPhone ,F,6,Cashify ,None,Cashify,,Google search,,,,,,,,,,,,,Have considered using it but never used,Never heard of it,Never heard of it,Have considered using it but never used,Heard a little but never considered using it,Heard a little but never considered using it,Never heard of it,Never heard of it,Never heard of it,Heard a little but never considered using it,It would be my first choice,I would not consider it,I would not consider it,I would not consider it,I would not consider it,I would not consider it,I would not consider it,I would not consider it,I would not consider it,I would not consider it,10,0,0,0,5,0,0,0,0,0,Definitely not,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lower price vs new,Battery health score,Certified refurbisher (brand assurance),EMI available,Trial window",,"Fear of bad quality,No trust in seller,Warranty doubts,Social stigma / family opinion,Don’t know where to buy safely",
Ahmedabad,,Male,46+,Married,"Refrigerator,Washing Machine,AC,PC / Laptop,Car,Smartphones",Graduate / PG – Professional,Working (full-time),>₹2L,Apple 13,F,6,Cashify,No,Cashify,,Google search,,,,,,,,,,,,,Have considered using it but never used,Heard a lot but never considered,Heard a lot but never considered,Heard a lot but never considered,Heard a little but never considered using it,Heard a lot but never considered,Heard a lot but never considered,Heard a lot but never considered,Heard a lot but never considered,Heard a lot but never considered,I would seriously consider it,I would not consider it,I would not consider it,I would not consider it,I would not consider it,I would not consider it,I would not consider it,I would not consider it,I would not consider it,I would not consider it,10,0,0,0,0,0,0,0,0,0,Probably would,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Warranty,Lower price vs new,32/64 point quality check,Battery health score,Certified refurbisher (brand assurance),Looks / feels like new",,"Fear of bad quality,Fear of fake/duplicate parts,Data privacy concern,Warranty doubts,Don’t know where to buy safely",
Mumbai,,Female,26–35,Single,"Refrigerator,Washing Machine,AC,PC / Laptop,Smartphones",Graduate / PG – Professional,Working (full-time),₹1.5–2L,iPhone 13,F,6,Amazon ,Flipkart ,"Cashify,Amazon Renewed,Flipkart Reset",,"TV ad,YouTube review/Unboxing,Google search,Social media ad (Instagram/Facebook),Influencer video recommending it","TV ad,YouTube review/Unboxing,Google search,Social media ad (Instagram/Facebook),Influencer video recommending it,Price–comparison site/Deal–blog","TV ad,YouTube review/Unboxing,Google search,Social media ad (Instagram/Facebook),Price–comparison site/Deal–blog",,,,,,,,,,,Heard a little but never considered using it,Have used it to buy refurbished device but it was sometime back.,Have used it to buy refurbished device but it was sometime back.,Heard a little but never considered using it,Heard a lot but never considered,Never heard of it,Never heard of it,Never heard of it,Never heard of it,Never heard of it,I would seriously consider it,I would seriously consider it,I would seriously consider it,I would not consider it,I would not consider it,I would not consider it,I would not consider it,I would not consider it,I might consider it,I would not consider it,10,10,10,4,1,0,0,0,0,0,Maybe,Yes,Online,Amazon Renewed,,,,,,,,,,,,,,,,,,,,1,,,4,,,,5,2,3,,,,,Was not aware that Cashify sells refurbished devices,"Warranty,32/64 point quality check,Battery health score,Trial window,Looks / feels like new,Reviews / testimonials",,"Fear of bad quality,Fear of fake/duplicate parts,Data privacy concern,No trust in seller,Don’t know where to buy safely",
Delhi NCR,,Female,26–35,Married,"Refrigerator,Washing Machine,AC,PC / Laptop,Car,Smartphones",Graduate / PG – Professional,Working (full-time),>₹2L,iPhone 15 Pro,F,6,Cashify,None,"Cashify,Amazon Renewed,OLX,Local shop/used-phone market",,Google search,Google search,,Google search,Offline store,,,,,,,,,Heard a lot but never considered,Heard a little but never considered using it,Never heard of it,Heard a lot but never considered,Heard a lot but never considered,Never heard of it,Never heard of it,Never heard of it,Never heard of it,Never heard of it,It would be my first choice,I would seriously consider it,I would not consider it,It would be my first choice,I would seriously consider it,I would not consider it,I would not consider it,I would not consider it,I would not consider it,I would not consider it,7,4,4,7,8,4,1,1,1,1,Definitely not,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Warranty,Lower price vs new,Battery health score,Looks / feels like new,Reviews / testimonials",,"Fear of fake/duplicate parts,No trust in seller,Warranty doubts,Don’t know where to buy safely,Prefer only brand–new phones",
Tier-2 / Tier-3 (Specify),New york city,Female,18–25,Single,"PC / Laptop,Smartphones",Graduate / PG – General,Unemployed,<₹25k,Iphone 15 pro max,F,6,Croma,No,"OLX,Local shop/used-phone market,Facebook Marketplace / Instagram sellers",,,,,Offline store,Offline store,Google search,,,,,,,,Never heard of it,Never heard of it,Never heard of it,Heard a lot but never considered,Heard a lot but never considered,Heard a lot but never considered,Never heard of it,Never heard of it,Never heard of it,Never heard of it,I would not consider it,I would not consider it,I would not consider it,I would not consider it,I would not consider it,I would not consider it,I would not consider it,I would not consider it,I would not consider it,I would not consider it,0,0,0,0,0,0,0,0,0,0,Definitely not,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Warranty,Replacement guarantee,Lower price vs new,32/64 point quality check,Battery health score,Certified refurbisher (brand assurance)",,"Fear of bad quality,No trust in seller,Warranty doubts,Don’t know where to buy safely,Prefer only brand–new phones",
Delhi NCR,,Male,18–25,Single,"Refrigerator,2-Wheeler,Smartphones",Graduate / PG – General,Working (full-time),₹50–75k,Refurbished ,F,6,Refurbished ,Cashify ,Cashify,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tier-2 / Tier-3 (Specify),Bhopal,Female,18–25,Single,Smartphones,SSC/HSC,Student,<₹25k,Iphone 15,F,6,None,None,OLX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,